T_B,T_S,prices,iter,sequence
"[310.0, 310.0, 310.0, 310.0]","[310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0]","[15.49, 15.49, 14.64, 14.64]",0,"[[1, 1, 1], [0, 0, 0], [0, 1, 0], [0, 1, 0]]"
"[311.3, 310.5, 310.2, 310.0]","[312.0, 312.0, 311.9, 311.7, 311.4, 310.9, 310.5, 310.3, 310.1, 310.0, 310.0, 310.0]","[15.49, 14.64, 14.64, 18.93]",15,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[310.9, 310.1, 308.8, 305.4]","[311.9, 311.8, 311.6, 311.3, 311.0, 310.6, 310.3, 310.1, 309.9, 309.4, 307.7, 304.0]","[14.64, 14.64, 18.93, 18.93]",30,"[[0, 1, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[311.2, 311.3, 311.1, 310.3]","[310.9, 310.6, 310.2, 309.7, 309.0, 308.0, 306.7, 305.6, 304.9, 305.0, 305.7, 307.0]","[14.64, 18.93, 18.93, 45.56]",45,"[[1, 1, 1], [0, 0, 0], [0, 1, 0], [0, 0, 0]]"
"[312.8, 312.9, 312.8, 312.6]","[312.1, 311.2, 310.6, 310.1, 309.6, 308.8, 307.8, 306.6, 305.7, 305.2, 305.3, 306.0]","[18.93, 18.93, 45.56, 45.56]",60,"[[1, 1, 1], [0, 0, 0], [0, 1, 0], [0, 0, 0]]"
"[314.1, 313.9, 313.7, 313.6]","[313.3, 312.3, 311.4, 310.7, 310.2, 309.5, 308.8, 307.8, 306.8, 305.9, 305.5, 305.6]","[18.93, 45.56, 45.56, 26.42]",75,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
