T_B,T_S,prices,loads,iter,sequence
"[314, 314.6, 313.7, 308.8]","[310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310]","[6.36, 6.34, 6.34, 6.37, 6.41, 6.46, 6.95, 41.51]","[0.05, 0.04, 0.04, 0.05, 0.05, 0.04, 0.04, 0.03]",0,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[319.6, 319.0, 318.5, 317.9]","[317.2, 315.3, 313.6, 312.1, 311.0, 310.4, 310.1, 310.0, 310.0, 310.0, 310.0, 310.0]","[6.34, 6.34, 6.37, 6.41, 6.46, 6.95, 41.51, 41.16]","[0.04, 0.04, 0.05, 0.05, 0.04, 0.04, 0.03, 0.02]",1,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[330.6, 330.3, 329.3, 327.8]","[319.1, 315.9, 314.0, 312.5, 311.3, 310.5, 310.2, 310.1, 310.0, 310.0, 310.0, 310.0]","[6.34, 6.37, 6.41, 6.46, 6.95, 41.51, 41.16, 41.07]","[0.04, 0.05, 0.05, 0.04, 0.04, 0.03, 0.02, 0.01]",2,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[328.3, 327.2, 325.4, 325.4]","[325.2, 322.8, 319.7, 317.1, 315.5, 314.9, 315.1, 315.6, 315.7, 315.0, 313.7, 312.4]","[6.37, 6.41, 6.46, 6.95, 41.51, 41.16, 41.07, 41.06]","[0.05, 0.05, 0.04, 0.04, 0.03, 0.02, 0.01, 0.01]",3,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[327.4, 325.9, 323.7, 319.8]","[322.9, 320.3, 317.7, 316.0, 315.2, 315.1, 315.4, 315.4, 314.9, 314.1, 313.5, 313.7]","[6.41, 6.46, 6.95, 41.51, 41.16, 41.07, 41.06, 41.08]","[0.05, 0.04, 0.04, 0.03, 0.02, 0.01, 0.01, 0.01]",4,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[326.5, 324.5, 321.3, 316.6]","[320.3, 318.0, 316.3, 315.4, 315.2, 315.2, 315.2, 314.8, 314.2, 313.7, 313.3, 312.7]","[6.46, 6.95, 41.51, 41.16, 41.07, 41.06, 41.08, 7.16]","[0.04, 0.04, 0.03, 0.02, 0.01, 0.01, 0.01, 0.01]",5,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[325.5, 323.0, 319.2, 314.4]","[318.6, 316.8, 315.8, 315.3, 315.2, 315.1, 314.8, 314.3, 313.8, 313.2, 312.5, 311.4]","[6.95, 41.51, 41.16, 41.07, 41.06, 41.08, 7.16, 7.18]","[0.04, 0.03, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01]",6,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[324.2, 321.1, 317.0, 312.5]","[317.3, 316.1, 315.5, 315.2, 315.0, 314.8, 314.4, 313.8, 313.3, 312.5, 311.5, 310.3]","[41.51, 41.16, 41.07, 41.06, 41.08, 7.16, 7.18, 7.18]","[0.03, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]",7,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[323.1, 319.7, 315.5, 311.3]","[316.7, 315.8, 315.3, 315.1, 314.9, 314.5, 314.0, 313.4, 312.7, 311.8, 310.6, 309.3]","[41.16, 41.07, 41.06, 41.08, 7.16, 7.18, 7.18, 7.16]","[0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]",8,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[321.4, 317.7, 313.8, 310.7]","[316.5, 315.7, 315.3, 315.0, 314.8, 314.4, 313.9, 313.3, 312.6, 311.6, 310.4, 309.4]","[41.07, 41.06, 41.08, 7.16, 7.18, 7.18, 7.16, 41.2]","[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]",9,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
