T_B,T_S,prices,loads,iter,sequence
"[314.4, 314.0, 313.6, 313.2]","[314.0, 313.4, 313.2, 313.6, 314.4, 315.3, 315.6, 315.2, 314.3, 313.1, 311.9, 310.8]","[7.18, 7.18, 7.16, 41.2, 41.64, 41.43, 41.51, 6.84]","[0.07, 0.07, 0.07, 0.07, 0.07, 0.09, 0.09, 0.1]",13,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1]]"
"[319.3, 318.8, 318.4, 317.9]","[318.4, 317.2, 316.1, 315.2, 314.4, 314.0, 313.9, 314.1, 314.4, 314.7, 314.8, 314.5]","[7.18, 7.16, 41.2, 41.64, 41.43, 41.51, 6.84, 6.65]","[0.07, 0.07, 0.07, 0.07, 0.09, 0.09, 0.1, 0.1]",14,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1]]"
"[323.0, 322.7, 322.5, 322.2]","[322.2, 321.0, 319.7, 318.5, 317.3, 316.3, 315.4, 314.7, 314.3, 314.2, 314.3, 314.4]","[7.16, 41.2, 41.64, 41.43, 41.51, 6.84, 6.65, 6.46]","[0.07, 0.07, 0.07, 0.09, 0.09, 0.1, 0.1, 0.11]",15,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[325.3, 325.1, 324.7, 324.5]","[324.5, 323.7, 322.8, 321.7, 320.6, 319.4, 318.3, 317.2, 316.2, 315.5, 314.9, 314.5]","[41.2, 41.64, 41.43, 41.51, 6.84, 6.65, 6.46, 6.4]","[0.07, 0.07, 0.09, 0.09, 0.1, 0.1, 0.11, 0.11]",16,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[324.9, 324.1, 321.8, 317.5]","[323.4, 322.4, 321.4, 320.3, 319.1, 318.0, 317.0, 316.1, 315.4, 314.8, 314.2, 313.6]","[41.64, 41.43, 41.51, 6.84, 6.65, 6.46, 6.4, 7.36]","[0.07, 0.09, 0.09, 0.1, 0.1, 0.11, 0.11, 0.11]",17,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[323.8, 321.7, 318.4, 314.5]","[321.9, 320.9, 319.8, 318.7, 317.6, 316.7, 315.9, 315.1, 314.5, 313.9, 313.2, 312.4]","[41.43, 41.51, 6.84, 6.65, 6.46, 6.4, 7.36, 7.34]","[0.09, 0.09, 0.1, 0.1, 0.11, 0.11, 0.11, 0.11]",18,"[[0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[316.2, 313.3, 310.7, 308.3]","[321.8, 320.7, 319.6, 318.5, 317.5, 316.5, 315.7, 315.0, 314.4, 313.8, 313.1, 311.7]","[41.51, 6.84, 6.65, 6.46, 6.4, 7.36, 7.34, -14]","[0.09, 0.1, 0.1, 0.11, 0.11, 0.11, 0.11, 0.11]",19,"[[0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[314.6, 311.9, 309.5, 308.1]","[319.3, 318.3, 317.3, 316.4, 315.6, 314.9, 314.1, 313.2, 312.1, 310.9, 309.8, 309.0]","[6.84, 6.65, 6.46, 6.4, 7.36, 7.34, -14, 7.37]","[0.1, 0.1, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11]",20,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[315.8, 315.2, 314.7, 314.1]","[315.6, 314.7, 313.9, 313.4, 313.5, 314.4, 315.5, 316.3, 316.6, 316.3, 315.6, 314.9]","[6.65, 6.46, 6.4, 7.36, 7.34, -14, 7.37, 7.41]","[0.1, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11]",21,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[318.6, 318.5, 318.3, 317.9]","[318.5, 318.3, 317.9, 317.4, 316.7, 316.0, 315.3, 314.7, 314.3, 314.2, 314.5, 315.0]","[6.46, 6.4, 7.36, 7.34, -14, 7.37, 7.41, 7.46]","[0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11]",22,"[[0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[317.8, 316.2, 313.1, 309.3]","[317.8, 317.3, 316.7, 316.0, 315.4, 314.9, 314.5, 314.1, 313.6, 312.2, 310.1, 308.0]","[6.4, 7.36, 7.34, -14, 7.37, 7.41, 7.46, 7.95]","[0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.1]",23,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
