T_B,T_S,prices,loads,iter,sequence
"[317.7, 316.5, 314.8, 313.5]","[314.6, 311.0, 311.2, 311.7, 312.9, 314.5, 316.1, 317.2, 316.6, 314.7, 312.9, 311.4]","[7.18, 7.18, 7.16, 41.2, 41.64, 41.43, 41.51, 6.84]","[0.13, 0.13, 0.13, 0.14, 0.14, 0.14, 0.15, 0.15]",13,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[324.0, 324.3, 323.8, 322.8]","[321.7, 322.6, 320.7, 318.1, 315.8, 313.8, 312.3, 311.9, 312.4, 313.5, 314.8, 315.8]","[7.18, 7.16, 41.2, 41.64, 41.43, 41.51, 6.84, 6.65]","[0.13, 0.13, 0.14, 0.14, 0.14, 0.15, 0.15, 0.15]",14,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[325.1, 325.4, 324.5, 324.2]","[314.9, 318.5, 316.9, 318.0, 320.0, 321.1, 320.3, 318.4, 316.2, 314.3, 313.0, 312.4]","[7.16, 41.2, 41.64, 41.43, 41.51, 6.84, 6.65, 6.46]","[0.13, 0.14, 0.14, 0.14, 0.15, 0.15, 0.15, 0.15]",15,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[327.9, 326.9, 326.6, 326.4]","[320.4, 318.7, 316.8, 315.3, 314.6, 314.9, 316.1, 317.4, 318.1, 318.8, 319.9, 320.1]","[41.2, 41.64, 41.43, 41.51, 6.84, 6.65, 6.46, 6.4]","[0.14, 0.14, 0.14, 0.15, 0.15, 0.15, 0.15, 0.15]",16,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[328.5, 328.3, 328.0, 327.6]","[316.4, 317.2, 318.2, 319.1, 319.8, 320.4, 320.4, 319.8, 318.5, 317.0, 315.9, 315.3]","[41.64, 41.43, 41.51, 6.84, 6.65, 6.46, 6.4, 6.36]","[0.14, 0.14, 0.15, 0.15, 0.15, 0.15, 0.15, 0.16]",17,"[[0, 0, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[328.4, 328.2, 327.2, 322.4]","[319.5, 319.7, 319.5, 318.9, 317.8, 316.3, 314.4, 312.2, 310.2, 308.9, 308.3, 308.4]","[41.43, 41.51, 6.84, 6.65, 6.46, 6.4, 6.36, 6.34]","[0.14, 0.15, 0.15, 0.15, 0.15, 0.15, 0.16, 0.16]",18,"[[0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[327.8, 326.2, 322.7, 318.4]","[317.8, 316.6, 315.0, 313.3, 311.6, 310.2, 309.2, 308.7, 308.4, 308.3, 308.1, 308.0]","[41.51, 6.84, 6.65, 6.46, 6.4, 6.36, 6.34, 6.34]","[0.15, 0.15, 0.15, 0.15, 0.15, 0.16, 0.16, 0.16]",19,"[[0, 0, 0], [1, 1, 1], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[323.2, 319.1, 314.1, 309.9]","[313.1, 311.6, 310.4, 309.5, 308.9, 308.5, 308.3, 308.2, 308.1, 308.0, 308.0, 308.0]","[6.84, 6.65, 6.46, 6.4, 6.36, 6.34, 6.34, 6.37]","[0.15, 0.15, 0.15, 0.15, 0.16, 0.16, 0.16, 0.16]",20,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[327.9, 327.0, 323.7, 321.9]","[313.1, 311.6, 310.4, 309.5, 308.9, 308.5, 308.3, 308.2, 308.1, 308.0, 308.0, 308.0]","[6.65, 6.46, 6.4, 6.36, 6.34, 6.34, 6.37, 6.41]","[0.15, 0.15, 0.15, 0.16, 0.16, 0.16, 0.16, 0.16]",21,"[[0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[319.8, 315.3, 311.2, 308.7]","[310.5, 309.6, 309.0, 308.6, 308.3, 308.2, 308.1, 308.0, 308.0, 308.0, 308.0, 308.0]","[6.46, 6.4, 6.36, 6.34, 6.34, 6.37, 6.41, 6.46]","[0.15, 0.15, 0.16, 0.16, 0.16, 0.16, 0.16, 0.16]",22,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[316.4, 316.2, 315.8, 315.7]","[310.5, 309.6, 309.0, 308.6, 308.3, 308.2, 308.1, 308.0, 308.0, 308.0, 308.0, 308.0]","[6.4, 6.36, 6.34, 6.34, 6.37, 6.41, 6.46, 6.95]","[0.15, 0.16, 0.16, 0.16, 0.16, 0.16, 0.16, 0.16]",23,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
