T_B,T_S,prices,loads,iter,sequence
"[314, 314.6, 313.7, 308.8]","[310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310]","[14.64, 18.93, 45.56, 26.42, 18.0, 17.17, 16.19, 30.74]","[0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.1, 0.1]",0,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[331.7, 330.3, 329.2, 327.9]","[310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0]","[18.93, 45.56, 26.42, 18.0, 17.17, 16.19, 30.74, 31.17]","[0.11, 0.11, 0.11, 0.11, 0.11, 0.1, 0.1, 0.08]",1,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[332.4, 332.2, 327.8, 324.8]","[314.3, 322.8, 319.9, 315.2, 311.8, 310.4, 310.1, 310.0, 310.0, 310.0, 310.0, 310.0]","[45.56, 26.42, 18.0, 17.17, 16.19, 30.74, 31.17, 16.18]","[0.11, 0.11, 0.11, 0.11, 0.1, 0.1, 0.08, 0.08]",2,"[[0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[327.5, 324.4, 321.5, 319.0]","[319.0, 318.0, 314.5, 311.9, 310.6, 310.1, 310.0, 310.0, 309.9, 309.4, 308.6, 308.0]","[26.42, 18.0, 17.17, 16.19, 30.74, 31.17, 16.18, 17.11]","[0.11, 0.11, 0.11, 0.1, 0.1, 0.08, 0.08, 0.08]",3,"[[0, 0, 0], [1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[323.7, 320.7, 317.1, 312.3]","[314.3, 312.4, 311.0, 310.3, 310.0, 309.8, 309.5, 309.1, 308.6, 308.3, 308.0, 308.0]","[18.0, 17.17, 16.19, 30.74, 31.17, 16.18, 17.11, 20.24]","[0.11, 0.11, 0.1, 0.1, 0.08, 0.08, 0.08, 0.08]",4,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[317.6, 316.0, 314.2, 315.9]","[314.6, 313.2, 312.8, 312.8, 312.8, 312.8, 312.8, 312.7, 312.5, 312.1, 311.6, 311.0]","[17.17, 16.19, 30.74, 31.17, 16.18, 17.11, 20.24, 24.94]","[0.11, 0.1, 0.1, 0.08, 0.08, 0.08, 0.08, 0.08]",5,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[319.4, 319.1, 318.8, 318.5]","[317.4, 315.6, 314.3, 313.5, 313.0, 312.8, 312.8, 312.8, 312.7, 312.5, 312.3, 311.9]","[16.19, 30.74, 31.17, 16.18, 17.11, 20.24, 24.94, 24.69]","[0.1, 0.1, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07]",6,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[328.8, 324.4, 320.7, 322.9]","[315.2, 319.1, 320.8, 320.3, 318.2, 315.9, 314.5, 313.6, 313.1, 312.9, 312.8, 312.7]","[30.74, 31.17, 16.18, 17.11, 20.24, 24.94, 24.69, 26.48]","[0.1, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07]",7,"[[0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[323.7, 320.4, 317.1, 313.2]","[319.1, 319.4, 318.4, 316.7, 315.2, 314.0, 313.4, 313.0, 312.6, 312.1, 311.3, 310.7]","[31.17, 16.18, 17.11, 20.24, 24.94, 24.69, 26.48, 30.15]","[0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07]",8,"[[0, 0, 0], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[323.2, 319.9, 316.5, 312.5]","[317.5, 316.3, 315.0, 314.0, 313.3, 312.8, 312.2, 311.6, 310.7, 309.7, 308.6, 308.0]","[16.18, 17.11, 20.24, 24.94, 24.69, 26.48, 30.15, 23.14]","[0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07, 0.07]",9,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
