T_B,T_S,prices,loads,iter,sequence
"[310, 310, 310, 310]","[310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310]","[18.97, 18.92, 18.21, 16.58, 16.27, 15.49, 14.64, 18.93]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",0,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[312.8, 312.6, 312.4, 312.1]","[312.9, 312.7, 312.4, 312.2, 311.9, 311.5, 311.1, 310.6, 310.3, 310.1, 310.0, 310.0]","[18.92, 18.21, 16.58, 16.27, 15.49, 14.64, 18.93, 45.56]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",1,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[314.5, 314.2, 314.0, 313.7]","[314.4, 314.1, 313.8, 313.5, 313.3, 313.0, 312.8, 312.6, 312.3, 312.0, 311.7, 311.4]","[18.21, 16.58, 16.27, 15.49, 14.64, 18.93, 45.56, 26.42]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[316.1, 315.9, 315.7, 315.4]","[316.1, 315.8, 315.5, 315.2, 314.9, 314.6, 314.3, 314.0, 313.8, 313.5, 313.3, 313.0]","[16.58, 16.27, 15.49, 14.64, 18.93, 45.56, 26.42, 18.0]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",3,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [1, 1, 1]]"
"[317.9, 317.7, 317.5, 317.3]","[317.8, 317.5, 317.1, 316.8, 316.5, 316.1, 315.8, 315.5, 315.2, 314.9, 314.6, 314.4]","[16.27, 15.49, 14.64, 18.93, 45.56, 26.42, 18.0, 17.17]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",4,"[[0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1]]"
"[316.8, 315.0, 311.8, 308.2]","[317.3, 316.9, 316.6, 316.3, 316.0, 315.7, 315.3, 315.0, 314.3, 313.1, 310.8, 308.0]","[15.49, 14.64, 18.93, 45.56, 26.42, 18.0, 17.17, 16.19]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",5,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[316.6, 316.2, 315.7, 315.2]","[316.4, 315.8, 315.4, 315.5, 315.9, 316.2, 316.3, 316.3, 316.0, 315.7, 315.4, 314.8]","[14.64, 18.93, 45.56, 26.42, 18.0, 17.17, 16.19, 30.74]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",6,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[320.6, 320.2, 319.8, 319.5]","[319.4, 318.2, 317.2, 316.5, 316.0, 315.8, 315.8, 315.9, 316.1, 316.1, 316.1, 315.9]","[18.93, 45.56, 26.42, 18.0, 17.17, 16.19, 30.74, 31.17]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",7,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[323.8, 323.4, 323.0, 322.8]","[322.4, 320.9, 319.6, 318.4, 317.4, 316.7, 316.2, 316.0, 315.9, 316.0, 316.0, 316.1]","[45.56, 26.42, 18.0, 17.17, 16.19, 30.74, 31.17, 16.18]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",8,"[[0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [1, 1, 1]]"
"[322.4, 320.5, 317.2, 313.1]","[320.3, 319.0, 318.0, 317.2, 316.6, 316.2, 316.0, 315.9, 315.7, 315.1, 313.8, 312.0]","[26.42, 18.0, 17.17, 16.19, 30.74, 31.17, 16.18, 17.11]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0]",9,"[[0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1]]"
"[318.1, 315.0, 311.9, 309.3]","[318.5, 317.6, 316.9, 316.4, 316.1, 315.9, 315.6, 315.1, 314.1, 312.7, 311.0, 309.1]","[18.0, 17.17, 16.19, 30.74, 31.17, 16.18, 17.11, 20.24]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0, 0]",10,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [0, 1, 0]]"
