,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-10-13 14:00:00,99.0,99.0,0.0,5.3450403,97314.984,0.0,12.915253,2.0553055,2.6290493,4.130457,4.6734314,235.2574825294756,13.212240062048963,226.48726407911482
2021-10-13 15:00:00,80.0,80.0,0.0,5.78099,97270.016,0.0,11.797455,1.9490414,2.5524254,4.424634,5.094906,270.551846763317,48.06483076154324,242.60213961289992
2021-10-13 16:00:00,39.0,39.0,0.0,5.4713297,97242.29,0.0,12.657959,2.318018,2.9505482,3.8851776,4.602934,310.02685480658283,279.2266059149109,183.3524238664387
2021-10-13 17:00:00,9.0,9.0,0.0,5.2021847,97301.4,0.0,12.821411,2.3176517,2.9634056,3.4958267,4.2880135,215.73993838463392,462.68434107333695,82.02977981169681
2021-10-13 18:00:00,0.0,0.0,0.0,5.062711,97318.7,0.0,12.127411,2.7025967,3.115965,2.6995773,3.682787,40.42022234090407,64.72985940379523,34.03158371522383
2021-10-13 19:00:00,0.0,0.0,0.0,3.5370495,97301.3,0.0,10.959259,1.8169804,1.5104599,1.456152,2.8080482,0.0,0.0,0.0
2021-10-13 20:00:00,0.0,0.0,0.0,2.4564872,97387.16,0.0,11.061401,1.2153835,-0.7145767,1.1703663,2.5109882,0.0,0.0,0.0
2021-10-13 21:00:00,0.0,0.0,0.0,2.0029418,97353.34,0.0,11.054169,0.6355696,-1.2808399,1.0629292,2.2795086,0.0,0.0,0.0
2021-10-13 22:00:00,0.0,0.0,0.0,2.1982455,97354.83,0.0,11.206757,-0.69916344,-2.355074,1.4951782,1.8378639,0.0,0.0,0.0
2021-10-13 23:00:00,0.0,0.0,0.0,2.1107936,97414.57,0.0,10.856995,-1.2359924,-2.7046604,1.0368147,0.9573574,0.0,0.0,0.0
2021-10-14 00:00:00,0.0,0.0,0.0,,97457.02,0.0,10.560242,-0.41072655,-2.69491,1.4527502,1.001236,0.0,0.0,0.0
2021-10-14 01:00:00,0.0,0.0,0.0,2.77731,97468.9,0.0,10.206543,-1.6039028,-3.1649227,1.7151356,1.5337887,0.0,0.0,0.0
2021-10-14 02:00:00,,,0.0,3.7047422,97492.766,0.0,9.76532,,-4.6657467,0.9567089,0.87173367,0.0,0.0,0.0
2021-10-14 03:00:00,0.0,0.0,0.0,4.6648555,97519.39,0.0,9.811218,-3.669693,-5.8840675,0.66970634,0.47182655,0.0,0.0,0.0
2021-10-14 04:00:00,0.0,0.0,0.0,,97547.84,0.0,10.375092,-3.6111078,-5.577017,-0.27080727,-0.8472748,0.0,0.0,0.0
2021-10-14 05:00:00,0.0,0.0,0.0,3.8164086,97592.836,0.0,11.23233,-2.9971514,-4.7560196,,-0.94211197,0.0,0.0,0.0
2021-10-14 06:00:00,0.0,0.0,0.0,,97595.92,0.0,10.678558,-2.8221931,-4.7148495,-0.29756737,,0.0,0.0,0.0
