,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-09-10 06:00:00,56.0,100.0,0.0,5.1386566,97147.74,100.0,13.124115,3.671814,4.174013,1.7583904,2.8879662,0.0,0.0,0.0
2021-09-10 07:00:00,20.0,100.0,0.0,4.6664786,97161.05,100.0,13.401581,2.5519962,2.52487,2.4979305,3.8545895,1.2105611750548233,0.0,1.2105611750548233
2021-09-10 08:00:00,1.0,57.0,0.0,3.5763316,97266.8,57.0,15.173706,2.1210117,1.6888237,2.1112156,2.9349594,101.11279873155283,60.93238110163701,86.83290642775123
2021-09-10 09:00:00,0.0,0.0,0.0,4.495122,97302.18,0.0,16.334778,2.9641113,2.951847,2.5147495,3.3637524,368.93880531683743,666.4290352333638,85.09446042546068
2021-09-10 10:00:00,0.0,0.0,0.0,4.264468,97377.08,0.0,17.999756,2.586422,2.7447243,2.7035637,3.229393,557.0456339980207,757.9337934531418,108.45200018372088
2021-09-10 11:00:00,0.0,0.0,0.0,4.1806426,97373.35,0.0,19.704742,2.9520664,2.8912563,2.458128,2.948452,705.0490328695549,780.2587975831511,142.58828113107484
2021-09-10 12:00:00,0.0,0.0,0.0,4.8849535,97315.64,0.0,20.519897,2.9093685,3.224287,3.2769833,3.7128086,801.0096824277049,780.9676163687403,173.02613671403992
2021-09-10 13:00:00,0.0,0.0,0.0,5.753221,97362.54,0.0,20.88739,2.7772064,3.161522,4.0988197,4.761736,837.7337277800367,778.9045569519099,186.64034790344078
2021-09-10 14:00:00,0.0,0.0,0.0,6.349101,97335.99,0.0,20.368439,2.7773342,3.2204895,4.8380184,5.428499,812.5209868146861,780.4512533472551,177.17096045570645
2021-09-10 15:00:00,0.0,0.0,0.0,6.7096596,97347.36,0.0,20.182709,2.282484,2.7333183,4.562252,5.273821,727.1952237460085,781.2610150518238,148.98540770775492
2021-09-10 16:00:00,0.0,0.0,0.0,6.739679,97326.96,0.0,19.838043,2.362133,2.6760101,4.429987,5.2009315,588.0811106063504,765.1657300148003,114.44826808510896
2021-09-10 17:00:00,0.0,0.0,0.0,6.8842263,97316.234,0.0,19.289368,2.21105,2.3541107,4.1991425,4.9696617,406.57824130870034,695.3310330431234,87.41275420930737
2021-09-10 18:00:00,0.0,0.0,0.0,5.623851,97343.75,0.0,18.526764,2.070303,2.1111755,4.010521,4.831541,199.34481162325966,468.5036088359033,72.3570543573667
2021-09-10 19:00:00,0.0,0.0,0.0,5.684001,97367.67,0.0,17.588959,1.8841763,1.9679317,3.5039883,4.7573605,17.550745440115936,0.0,17.550745440115936
2021-09-10 20:00:00,0.0,0.0,0.0,4.6396465,97422.64,0.0,16.272217,1.5466805,1.0400963,3.158844,4.4613914,0.0,0.0,0.0
2021-09-10 21:00:00,0.0,0.0,0.0,4.501549,97448.8,0.0,15.708496,1.8409824,1.0133514,2.5894012,4.2382183,0.0,0.0,0.0
2021-09-10 22:00:00,0.0,0.0,0.0,4.8263016,97484.72,0.0,15.180603,2.217125,1.5221634,2.595415,4.485527,0.0,0.0,0.0
