,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-11-01 15:00:00,100.0,100.0,100.0,12.086479,97434.56,100.0,13.69635,6.3516417,9.805854,0.4248867,0.6111307,163.30193797894708,3.191956086209857,161.73030549710535
2021-11-01 16:00:00,94.0,100.0,100.0,12.353367,97437.28,100.0,13.981689,6.484271,10.417454,0.44080734,0.797081,111.88717329600097,0.0,111.88717329600097
2021-11-01 17:00:00,100.0,100.0,100.0,10.8964,97466.69,100.0,13.668152,5.4516582,8.793263,1.1279306,1.7851276,49.02302303093374,0.0,49.02302303093374
2021-11-01 18:00:00,100.0,100.0,100.0,9.883411,97541.836,100.0,13.31015,5.5842934,8.545427,0.6231499,0.7900877,0.5991141878673022,0.0,0.5991141878673022
2021-11-01 19:00:00,100.0,100.0,100.0,9.138432,97607.984,100.0,13.154999,5.317297,7.9757624,0.7911129,1.2521849,0.0,0.0,0.0
2021-11-01 20:00:00,100.0,100.0,6.0,8.152691,97689.44,5.0,13.144012,4.848633,7.0017004,0.64177513,1.020031,0.0,0.0,0.0
2021-11-01 21:00:00,100.0,100.0,0.0,7.525565,97736.56,0.0,13.108612,4.0289545,6.048376,1.8257389,2.6985416,0.0,0.0,0.0
2021-11-01 22:00:00,100.0,100.0,23.0,9.509676,97722.42,0.0,13.031311,4.2322874,6.4990883,2.814375,4.332057,0.0,0.0,0.0
2021-11-01 23:00:00,100.0,100.0,2.0,7.9155874,97733.86,0.0,13.115753,3.9422283,5.8271847,2.6333723,4.023758,0.0,0.0,0.0
2021-11-02 00:00:00,100.0,100.0,0.0,6.948825,97725.79,0.0,13.024109,3.7063532,5.5035458,1.9512177,2.8551216,0.0,0.0,0.0
2021-11-02 01:00:00,100.0,100.0,0.0,6.5635133,97777.41,0.0,12.960205,2.9576263,4.2541933,2.5418463,3.5743847,0.0,0.0,0.0
2021-11-02 02:00:00,100.0,100.0,99.0,5.564722,97793.14,0.0,12.654175,1.956336,2.8723135,2.7374887,3.6620817,0.0,0.0,0.0
2021-11-02 03:00:00,100.0,100.0,2.0,5.641199,97815.13,0.0,12.637146,1.9861727,3.1193056,2.2570677,3.1659842,0.0,0.0,0.0
2021-11-02 04:00:00,94.0,94.0,0.0,3.6970885,97824.34,0.0,12.538757,1.3423672,1.9925156,1.4011765,1.8324041,0.0,0.0,0.0
2021-11-02 05:00:00,100.0,100.0,11.0,3.3951359,97851.016,0.0,12.714905,1.2478294,2.0576763,0.47905064,0.44698334,0.0,0.0,0.0
2021-11-02 06:00:00,69.0,69.0,6.0,3.8754601,97886.3,0.0,12.394348,1.2169418,2.5905628,-0.6992502,-0.61476517,0.0,0.0,0.0
2021-11-02 07:00:00,100.0,100.0,1.0,3.0360157,97914.85,0.0,12.569733,0.704649,1.7563334,0.07143116,-0.25880623,0.0,0.0,0.0
