,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-09-11 23:00:00,0.0,5.0,5.0,3.4810512,97303.164,0.0,16.769073,1.6020117,0.18884277,2.5931282,3.2495766,0.0,0.0,0.0
2021-09-12 00:00:00,0.0,1.0,1.0,4.6320424,97306.53,0.0,15.599731,2.4010782,1.4172649,3.0226593,3.8359814,0.0,0.0,0.0
2021-09-12 01:00:00,0.0,2.0,2.0,4.745806,97273.58,0.0,15.016174,2.5703268,2.044098,2.7450352,3.567913,0.0,0.0,0.0
2021-09-12 02:00:00,0.0,5.0,5.0,4.4954915,97251.31,0.0,15.293304,2.6796875,2.1843262,2.636551,3.494976,0.0,0.0,0.0
2021-09-12 03:00:00,0.0,45.0,45.0,5.3144636,97240.84,0.0,14.607269,3.448,3.3227425,2.2241096,3.671009,0.0,0.0,0.0
2021-09-12 04:00:00,0.0,100.0,100.0,5.4615383,97255.35,0.0,14.094971,3.4416084,3.4591827,2.4492493,3.882841,0.0,0.0,0.0
2021-09-12 05:00:00,0.0,100.0,100.0,5.825306,97273.78,0.0,13.542603,3.6108952,3.9883633,2.5012493,4.0536556,0.0,0.0,0.0
2021-09-12 06:00:00,0.0,100.0,100.0,5.99649,97314.23,0.0,12.986847,3.781806,4.2044716,2.6573715,3.9765205,0.0,0.0,0.0
2021-09-12 07:00:00,0.0,100.0,100.0,6.1838098,97319.94,0.0,12.948639,3.4097672,4.3593426,2.927164,4.2069054,0.8353461846114018,0.0,0.8353461846114018
2021-09-12 08:00:00,0.0,95.0,95.0,5.560128,97356.234,0.0,15.399567,3.2843914,3.9879818,2.9246159,3.6421318,59.42405527323823,0.0,59.42405527323823
2021-09-12 09:00:00,0.0,3.0,3.0,4.9355392,97338.87,0.0,17.186127,2.8917885,3.5500717,2.8130188,3.5089283,356.35097711132033,624.5729330100716,93.85953230183793
2021-09-12 10:00:00,0.0,0.0,0.0,4.557341,97349.53,0.0,18.72583,2.8894348,3.2754173,2.8792896,3.1067142,551.4199596310505,758.7725871305349,106.77177807561992
2021-09-12 11:00:00,0.0,0.0,0.0,4.00627,97368.945,0.0,20.838715,2.5965843,2.9219284,2.4592648,2.697609,699.1301431244809,782.3190592143673,140.05090724389788
2021-09-12 12:00:00,0.0,0.0,0.0,3.655388,97376.09,0.0,22.700134,2.1499348,2.357729,2.6213036,2.683569,794.6047572509565,783.6969588591288,169.69298162190796
2021-09-12 13:00:00,0.0,0.0,0.0,3.5193634,97366.42,0.0,24.228699,1.6425629,1.948452,2.8216972,2.7589626,830.6733455202483,781.9192466649981,182.78152051778306
2021-09-12 14:00:00,0.0,0.0,0.0,3.876611,97334.016,0.0,24.858704,1.19697,1.4118347,3.4420586,3.464077,804.6803631500477,783.3192761038654,173.2399680186444
2021-09-12 15:00:00,0.0,0.0,0.0,4.1405954,97328.92,0.0,24.53476,0.9903717,1.3889217,3.5177345,3.7693481,718.5097246758701,783.365444931816,145.5094279396792
