,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-10-14 20:00:00,0.0,0.0,0.0,2.445861,97661.65,0.0,15.445984,-1.0498762,-2.2257385,1.6924753,1.2962675,0.0,0.0,0.0
2021-10-14 21:00:00,0.0,0.0,0.0,3.3207633,97649.37,0.0,15.314301,-2.478425,-3.151514,1.3093338,1.7600746,0.0,0.0,0.0
2021-10-14 22:00:00,0.0,0.0,0.0,2.9897513,97639.21,0.0,15.457001,-2.2808218,-3.2689934,0.36745548,0.90444183,0.0,0.0,0.0
2021-10-14 23:00:00,0.0,0.0,0.0,2.3182368,97650.59,0.0,15.880646,-1.8484154,-2.3954544,0.15929604,0.15421677,0.0,0.0,0.0
2021-10-15 00:00:00,0.0,0.0,0.0,1.7738204,97672.16,0.0,16.018402,-1.2185297,-1.7247047,0.06109047,-0.4353161,0.0,0.0,0.0
2021-10-15 01:00:00,0.0,0.0,0.0,1.4463537,97665.336,0.0,15.873962,-0.78308296,-1.4076786,0.1961155,-0.33029747,0.0,0.0,0.0
2021-10-15 02:00:00,0.0,0.0,0.0,1.2785784,97679.06,0.0,15.487335,-0.74266243,-1.6264172,0.28008747,0.085063934,0.0,0.0,0.0
2021-10-15 03:00:00,0.0,0.0,0.0,0.99553424,97687.125,0.0,15.397308,-0.59217644,-1.0590343,0.35195446,0.2337513,0.0,0.0,0.0
2021-10-15 04:00:00,0.0,0.0,0.0,0.80149704,97719.54,0.0,15.141205,0.09895229,-0.99290276,-0.6071863,-0.10533905,0.0,0.0,0.0
2021-10-15 05:00:00,0.0,0.0,0.0,1.1900989,97772.08,0.0,14.921753,0.06677723,-0.79317665,-0.93617916,-0.858881,0.0,0.0,0.0
2021-10-15 06:00:00,0.0,0.0,0.0,1.7447556,97779.74,0.0,14.669464,-0.14687538,-0.64157295,-1.2511559,-1.6520653,0.0,0.0,0.0
2021-10-15 07:00:00,0.0,0.0,0.0,1.6752821,97820.055,0.0,14.574493,-0.29736423,-0.63578033,-1.2538223,-1.7875538,0.0,0.0,0.0
2021-10-15 08:00:00,0.0,0.0,0.0,2.2690082,97877.61,0.0,14.877655,0.18518639,-0.3529129,-1.6842556,-2.527464,62.77315875740257,153.28628646010492,43.47564944047092
2021-10-15 09:00:00,0.0,0.0,0.0,3.37503,97907.25,0.0,16.874481,0.44685078,0.041463852,-2.4746094,-3.6629372,255.07950440071443,588.232634828151,71.52625842654334
2021-10-15 10:00:00,0.0,0.0,0.0,4.251178,97925.58,0.0,20.572632,-0.42222786,-0.42087746,-2.7044678,-3.2389812,435.74296886453345,752.4859980839431,81.67592986925928
2021-10-15 11:00:00,0.0,0.0,0.0,4.73605,97928.17,0.0,21.960083,-1.6090612,-1.8109055,-3.4704027,-4.115349,575.3682500751846,804.2880895533369,100.40254744661041
2021-10-15 12:00:00,0.0,0.0,0.0,4.218407,97925.5,0.0,22.714722,-1.8165264,-1.88867,-3.1605206,-3.6348705,661.2953828940268,819.5654950944015,117.19561935613126
