,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-07-30 22:00:00,3.0,4.0,3.0,8.50018,97240.98,0.0,15.106293,3.016942,4.30414,4.7337723,7.123945,0.0,0.0,0.0
2021-07-30 23:00:00,3.0,47.0,47.0,9.120237,97261.5,0.0,15.018097,3.2490816,4.617464,5.0454206,7.7532682,0.0,0.0,0.0
2021-07-31 00:00:00,2.0,100.0,100.0,8.696696,97244.914,0.0,14.894165,3.065792,4.4948807,4.9103727,7.3076706,0.0,0.0,0.0
2021-07-31 01:00:00,3.0,94.0,94.0,8.669489,97285.0,0.0,14.509674,2.9721785,4.2607937,5.092246,7.4456186,0.0,0.0,0.0
2021-07-31 02:00:00,6.0,63.0,61.0,8.869081,97261.71,0.0,14.022095,3.0579233,4.265808,5.327217,7.6423044,0.0,0.0,0.0
2021-07-31 03:00:00,22.0,100.0,100.0,9.424647,97231.42,0.0,13.273193,2.9132357,4.355398,5.5482073,8.162907,0.0,0.0,0.0
2021-07-31 04:00:00,85.0,100.0,100.0,10.153217,97259.04,0.0,12.72583,3.3267756,4.959339,6.151429,8.755496,0.0,0.0,0.0
2021-07-31 05:00:00,87.0,87.0,0.0,10.3248825,97317.766,0.0,12.81369,3.6974316,5.3414574,6.12438,8.694666,0.0,0.0,0.0
2021-07-31 06:00:00,86.0,86.0,0.0,9.997144,97328.67,0.0,12.848145,3.400035,4.9692097,5.8895254,8.5109,0.0,0.0,0.0
2021-07-31 07:00:00,86.0,86.0,0.0,10.258676,97412.914,0.0,13.020905,3.4912786,5.1032047,5.970065,8.684741,29.102011851676384,0.0,29.102011851676384
2021-07-31 08:00:00,77.0,77.0,0.0,9.99522,97472.65,0.0,13.667297,3.602085,5.2318707,5.867691,8.028814,129.7200812670499,25.1942484815139,121.25665226577932
2021-07-31 09:00:00,40.0,40.0,0.0,9.426767,97528.08,0.0,15.149658,3.6195717,4.9134846,5.1831465,7.103718,342.759860156093,243.55487293053176,215.76720768627155
2021-07-31 10:00:00,33.0,33.0,0.0,8.92522,97572.47,0.0,16.02356,2.3876362,3.574316,5.553379,7.332882,507.5141219690624,315.0062397862877,291.9303087535085
2021-07-31 11:00:00,47.0,47.0,0.0,9.4768715,97579.79,0.0,16.25879,2.162548,3.3513603,6.241144,8.157721,550.3725743108722,195.60980965940226,391.20324412532017
2021-07-31 12:00:00,47.0,47.0,0.0,10.049614,97596.734,0.0,16.503418,2.4783268,3.5232353,6.8472357,8.834911,618.8965828486762,191.7952688420646,446.17111274499644
2021-07-31 13:00:00,39.0,39.0,0.0,9.893428,97618.89,0.0,16.999786,2.6301155,3.6911392,6.739012,8.577366,697.9018491266685,252.0889271332261,461.18099248374347
2021-07-31 14:00:00,30.0,30.0,0.0,9.721614,97648.29,0.0,17.5979,2.374445,3.3883896,6.8435745,8.575174,741.0795890209018,331.39527794018267,434.05243831023125
