,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-07-21 11:00:00,3.0,3.0,0.0,5.0616417,97194.35,0.0,17.029297,3.3697243,3.7492027,2.6875076,3.2958202,791.1239629447927,693.2461692617672,217.24082950863476
2021-07-21 12:00:00,0.0,0.0,0.0,4.991592,97185.13,0.0,20.153076,2.921173,3.2419758,3.3391514,3.7609777,904.1190910465696,735.1176719218955,232.5238085229389
2021-07-21 13:00:00,0.0,0.0,0.0,6.0346913,97134.8,0.0,21.440216,2.7386856,3.3118439,4.461199,4.9957714,947.3171988620303,728.2772499561974,254.26868921560538
2021-07-21 14:00:00,0.0,0.0,0.0,6.213496,97167.8,0.0,22.800598,3.112934,3.8336353,4.233487,4.8995304,933.3505761342116,730.6443071471533,247.03293077017656
2021-07-21 15:00:00,0.0,0.0,0.0,6.7549357,97203.12,0.0,23.458374,3.4591293,4.231264,4.4604435,5.273878,863.2028359841139,740.2416666984905,213.61842084161708
2021-07-21 16:00:00,0.0,0.0,0.0,6.9806643,97182.414,0.0,22.878784,3.361311,4.1219463,4.7090836,5.595293,741.9045873100483,746.815295288651,166.54087402468997
2021-07-21 17:00:00,0.0,0.0,0.0,6.6308575,97134.45,0.0,22.752197,3.5828285,4.0046616,4.2937927,5.059902,578.465720370279,730.6102676646997,121.61484812798176
2021-07-21 18:00:00,0.0,0.0,0.0,6.2340508,97097.34,0.0,21.910614,3.5666847,4.0241604,3.7983265,4.510708,385.50942147162755,648.7052636139459,92.26644301371817
2021-07-21 19:00:00,0.0,0.0,0.0,5.9536414,97063.695,0.0,20.696533,3.6617775,4.0055275,3.5009766,4.3292007,182.0302586102591,412.4970976897157,73.76967076621283
2021-07-21 20:00:00,0.0,0.0,0.0,5.6829205,97034.766,0.0,18.998047,3.659401,3.9457092,2.8962193,4.027397,16.629736801483634,0.0,16.629736801483634
2021-07-21 21:00:00,0.0,0.0,0.0,5.019806,97040.55,0.0,17.612244,3.4737358,3.1134872,2.3069954,3.6451454,0.0,0.0,0.0
2021-07-21 22:00:00,0.0,0.0,0.0,3.944054,97061.66,0.0,16.993591,2.6025715,2.1702232,1.816349,3.0105038,0.0,0.0,0.0
2021-07-21 23:00:00,0.0,0.0,0.0,4.016688,97071.04,0.0,16.070587,3.1961899,2.2582283,1.681633,2.6523514,0.0,0.0,0.0
2021-07-22 00:00:00,0.0,0.0,0.0,4.495818,97075.016,0.0,15.58316,3.5519066,2.8806553,1.6025543,2.594572,0.0,0.0,0.0
2021-07-22 01:00:00,0.0,0.0,0.0,5.080762,97079.33,0.0,15.287323,3.771616,3.7364063,1.5610962,2.4350033,0.0,0.0,0.0
2021-07-22 02:00:00,0.0,0.0,0.0,5.5251584,97050.76,0.0,14.72052,4.2466946,4.252329,1.5734291,2.5632286,0.0,0.0,0.0
2021-07-22 03:00:00,0.0,0.0,0.0,6.1088595,97076.164,0.0,14.05368,4.3850346,4.8454285,1.6350079,2.7780762,0.0,0.0,0.0
