,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-07-16 17:00:00,0.0,0.0,0.0,5.463198,97071.234,0.0,18.049591,1.8344631,2.371027,4.275709,4.880453,584.6951525693435,731.4516554388982,122.98941939575155
2021-07-16 18:00:00,0.0,0.0,0.0,5.5367565,97010.516,0.0,17.641663,2.3786926,2.8983345,4.174816,4.702011,392.8069913715706,653.8009025892712,92.76710632186348
2021-07-16 19:00:00,0.0,0.0,0.0,5.685838,96986.89,0.0,16.735352,2.3766785,3.1182575,3.9432392,4.694647,190.132472685351,426.29515564070704,74.84309452626871
2021-07-16 20:00:00,0.0,0.0,0.0,5.5128503,97027.92,0.0,16.378815,2.802719,3.2938118,3.6697903,4.463932,21.490210802160714,0.0,21.490210802160714
2021-07-16 21:00:00,0.0,0.0,0.0,5.833701,97009.09,0.0,15.236389,3.5628796,4.0029526,2.9148102,4.0125713,0.0,0.0,0.0
2021-07-16 22:00:00,0.0,0.0,0.0,6.3964458,97036.34,0.0,14.789246,4.0635204,4.8169003,2.7034817,3.89785,0.0,0.0,0.0
2021-07-16 23:00:00,0.0,0.0,0.0,7.088088,97015.59,0.0,14.369507,4.9932575,5.7814903,2.4245872,3.638441,0.0,0.0,0.0
2021-07-17 00:00:00,1.0,1.0,0.0,8.05691,96996.3,0.0,13.259155,5.729662,7.1390076,2.082262,3.2870293,0.0,0.0,0.0
2021-07-17 01:00:00,1.0,1.0,0.0,8.531626,96980.08,0.0,13.095001,5.5600653,7.4999104,2.1671295,3.5417213,0.0,0.0,0.0
2021-07-17 02:00:00,0.0,0.0,0.0,7.923292,96983.03,0.0,12.977814,5.2859898,6.749937,2.5611038,3.8251,0.0,0.0,0.0
2021-07-17 03:00:00,0.0,0.0,0.0,7.8769426,96991.2,0.0,12.855469,5.2124424,6.6064987,2.6488,4.1496544,0.0,0.0,0.0
2021-07-17 04:00:00,0.0,0.0,0.0,8.001442,97015.61,0.0,12.707581,4.864973,6.527811,3.0896997,4.694706,0.0,0.0,0.0
2021-07-17 05:00:00,0.0,0.0,0.0,7.819075,97040.83,0.0,12.803406,4.552313,6.213255,3.4498215,4.8408203,0.0,0.0,0.0
2021-07-17 06:00:00,0.0,0.0,0.0,7.191845,97057.97,0.0,12.592865,4.2984333,5.844061,3.1057396,4.5598164,0.0,0.0,0.0
2021-07-17 07:00:00,0.0,0.0,0.0,7.0928946,97136.234,0.0,13.844849,4.550915,6.1370316,2.3505077,3.5419273,93.44918726691614,213.12513627780635,56.77505668666988
2021-07-17 08:00:00,0.0,0.0,0.0,6.6658573,97162.125,0.0,15.460449,4.619688,5.8529854,2.0508118,3.075945,289.0229815258811,555.3664263469016,86.95086954855813
2021-07-17 09:00:00,0.0,0.0,0.0,5.7754874,97183.81,0.0,17.403107,4.033244,4.8899,2.392496,2.9183407,489.2641297136625,704.4455564078257,104.70354210801656
