,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-10-30 12:00:00,100.0,100.0,100.0,6.2365403,97194.51,0.0,12.878052,2.8113213,3.5905018,2.2865791,2.8517876,206.0068641622174,9.479510871834993,200.3502561395285
2021-10-30 13:00:00,100.0,100.0,100.0,6.5627766,97166.89,0.0,12.859253,2.6052122,3.4094715,3.1164665,3.9955883,214.06856752570215,10.39764872714921,207.66121848129796
2021-10-30 14:00:00,99.0,100.0,100.0,7.992435,97182.02,0.0,13.313599,3.3837538,4.7104816,3.7179928,4.7939644,200.58432242470394,8.821530715285517,195.43623168806315
2021-10-30 15:00:00,83.0,100.0,100.0,9.381298,97098.37,4.0,13.134216,3.7007551,5.1141825,5.002985,6.568037,166.61707931121651,3.7995262683865945,164.71352773061966
2021-10-30 16:00:00,52.0,100.0,100.0,9.706196,97074.2,36.0,12.518524,3.1290684,4.2767487,5.8504543,7.6386833,115.05706289218267,0.0,115.05706289218267
2021-10-30 17:00:00,91.0,100.0,100.0,9.019809,97103.32,18.0,11.561066,2.7492247,3.7917976,5.4369183,7.0144997,51.82576724228184,0.0,51.82576724228184
2021-10-30 18:00:00,94.0,99.0,86.0,9.71784,97188.8,39.0,11.174347,2.7439175,3.961895,4.97365,6.7931767,1.058251508848338,0.0,1.058251508848338
2021-10-30 19:00:00,31.0,100.0,18.0,9.313751,97177.52,100.0,11.085114,2.9823112,4.1433287,4.718874,6.625332,0.0,0.0,0.0
2021-10-30 20:00:00,74.0,84.0,74.0,8.056739,97196.72,19.0,11.036407,2.829445,4.037112,4.2138195,5.9334164,0.0,0.0,0.0
2021-10-30 21:00:00,55.0,100.0,15.0,7.8244386,97228.72,100.0,10.629883,2.8749065,4.1552467,3.2955666,5.2451134,0.0,0.0,0.0
2021-10-30 22:00:00,97.0,97.0,8.0,7.768037,97298.3,9.0,10.937683,2.3090649,3.2564297,4.191698,5.833994,0.0,0.0,0.0
2021-10-30 23:00:00,89.0,89.0,0.0,8.054068,97308.28,8.0,11.040436,2.6654844,3.5538597,4.5195827,6.421955,0.0,0.0,0.0
2021-10-31 00:00:00,65.0,65.0,0.0,6.826674,97226.86,0.0,10.919617,2.3652058,3.4300385,3.2007751,4.7698383,0.0,0.0,0.0
2021-10-31 01:00:00,92.0,92.0,0.0,6.4634843,97221.37,0.0,10.838623,1.8149481,2.5170555,3.7379704,5.2771015,0.0,0.0,0.0
2021-10-31 02:00:00,85.0,85.0,0.0,6.7619066,97219.3,0.0,10.8688965,1.6151123,2.0433712,3.8969631,5.648802,0.0,0.0,0.0
2021-10-31 03:00:00,81.0,81.0,0.0,5.1994586,97221.625,0.0,10.910126,1.1735201,1.5992241,2.930666,4.279421,0.0,0.0,0.0
2021-10-31 04:00:00,35.0,35.0,0.0,2.852122,97228.695,0.0,10.203644,1.317976,1.3096848,1.0151348,2.4188461,0.0,0.0,0.0
