,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-09-07 12:00:00,0.0,1.0,1.0,3.2463338,97331.95,0.0,26.70105,1.3298712,1.45928,2.600233,2.7191372,804.9423491984412,759.8422039076365,186.55639503176621
2021-09-07 13:00:00,0.0,0.0,0.0,4.450596,97286.95,0.0,26.390442,0.95121384,1.0615215,4.147213,4.1478863,847.8813719769737,774.3455871636884,192.3965589502559
2021-09-07 14:00:00,0.0,0.0,0.0,5.3496,97267.21,0.0,24.776245,1.3122082,1.7368336,4.7142754,5.008337,823.8235826483874,776.0781270920631,183.05940778136915
2021-09-07 15:00:00,0.0,0.0,0.0,5.627593,97243.12,0.0,24.654205,1.3894634,1.6859703,4.5765314,5.1193295,739.7706609383857,777.9481089432893,154.23280372294698
2021-09-07 16:00:00,0.0,0.0,0.0,6.189942,97129.83,0.0,25.451904,0.9294081,1.1657429,4.235445,4.9518585,601.9308506369931,764.408974849658,118.41096416363467
2021-09-07 17:00:00,0.0,0.0,0.0,5.978563,97106.586,0.0,25.150726,0.568079,0.39113235,4.154665,4.915615,421.51904007603247,701.1557273152292,89.56686211287024
2021-09-07 18:00:00,0.0,0.0,0.0,6.311251,97188.44,0.0,24.722229,0.46625805,-0.37886047,3.6924973,4.7978077,214.59895035297154,489.51179460323954,74.50542588440658
2021-09-07 19:00:00,0.0,0.0,0.0,6.069221,97186.39,0.0,24.220367,-0.010269165,-1.6270714,3.4529839,5.265829,26.34149096230784,0.0,26.34149096230784
2021-09-07 20:00:00,0.0,0.0,0.0,4.9218373,97184.93,0.0,23.364746,-0.27721977,-2.762621,3.1720753,5.6032524,0.0,0.0,0.0
2021-09-07 21:00:00,0.0,0.0,0.0,4.7931447,97146.93,0.0,23.517426,-0.9389515,-3.6246815,3.3171234,5.435274,0.0,0.0,0.0
2021-09-07 22:00:00,0.0,0.0,0.0,4.9859457,97130.3,0.0,22.974854,-1.0295124,-3.5802135,3.3255463,5.3887253,0.0,0.0,0.0
2021-09-07 23:00:00,0.0,0.0,0.0,4.695872,97119.45,0.0,22.76883,-1.4064693,-4.167963,3.0011158,4.7764854,0.0,0.0,0.0
2021-09-08 00:00:00,0.0,0.0,0.0,4.0234313,97106.1,0.0,22.378326,-0.101163864,-3.470848,2.810276,4.275799,0.0,0.0,0.0
2021-09-08 01:00:00,0.0,0.0,0.0,4.303878,97131.36,0.0,22.417969,-0.13623238,-3.6021156,2.887888,4.1907787,0.0,0.0,0.0
2021-09-08 02:00:00,0.0,0.0,0.0,4.123948,97112.02,0.0,21.693817,0.3600788,-2.549406,3.1010914,4.3399086,0.0,0.0,0.0
2021-09-08 03:00:00,0.0,0.0,0.0,4.068171,97080.81,0.0,21.891327,0.62008286,-2.5639114,2.9548988,4.19042,0.0,0.0,0.0
2021-09-08 04:00:00,0.0,0.0,0.0,3.8140202,97045.125,0.0,22.15622,0.042718887,-3.009283,2.822916,3.6828442,0.0,0.0,0.0
