,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-06-04 01:00:00,0.0,85.0,85.0,4.8803325,96949.914,0.0,15.53009,1.8594742,-0.109508514,3.10071,6.10054,0.0,0.0,0.0
2021-06-04 02:00:00,0.0,91.0,91.0,4.7037234,96954.46,0.0,14.917603,2.1324806,0.35261345,2.9345818,5.529544,0.0,0.0,0.0
2021-06-04 03:00:00,0.0,29.0,29.0,4.311028,97015.17,0.0,14.352325,2.6285982,1.2457237,2.1134186,4.692772,0.0,0.0,0.0
2021-06-04 04:00:00,0.0,65.0,65.0,4.779077,97002.22,0.0,13.87561,2.9563408,2.223814,2.369605,4.4668064,0.0,0.0,0.0
2021-06-04 05:00:00,0.0,9.0,9.0,5.099378,97007.36,0.0,13.501495,2.8500214,2.2733612,2.4244738,4.578333,0.0,0.0,0.0
2021-06-04 06:00:00,0.0,4.0,4.0,5.625779,97021.79,0.0,13.099701,2.8513336,2.9090958,2.6472187,4.723463,1.9677440374295871,0.0,1.9677440374295871
2021-06-04 07:00:00,0.0,1.0,1.0,5.9452105,97056.68,0.0,14.705811,3.7320995,3.3553066,3.0968122,4.746846,132.24437729358957,317.9810023419967,65.01510043660232
2021-06-04 08:00:00,0.0,16.0,16.0,7.108917,97071.14,0.0,14.953491,4.191394,4.369524,3.9603271,5.4653063,298.3783905463805,433.41666135869133,124.62536434883373
2021-06-04 09:00:00,0.0,37.0,37.0,6.934436,97071.336,0.0,15.309601,4.603592,4.821186,3.738964,4.874029,403.35849435497886,280.0023812680773,241.22536017346593
2021-06-04 10:00:00,0.0,15.0,15.0,6.36893,97102.414,0.0,16.73529,4.3449574,4.5464764,3.4091654,4.390461,636.8946348110611,544.8105726611604,237.14370099746503
2021-06-04 11:00:00,0.0,3.0,3.0,6.7408056,97127.555,0.0,18.486298,4.17758,4.7393894,3.9156818,4.7172966,826.3502250780532,701.9280003025402,226.58195859818215
2021-06-04 12:00:00,0.0,78.0,78.0,7.3194857,97135.56,0.0,19.060394,4.0388546,4.683176,4.754594,5.516773,459.5678743117364,49.29135272134835,413.5806074477675
2021-06-04 13:00:00,0.0,100.0,100.0,7.9212065,97113.79,0.0,19.126312,4.1637154,4.9173756,5.4557667,6.1813602,338.61891269613227,18.215549414679042,321.0604191418976
2021-06-04 14:00:00,0.0,97.0,97.0,7.7722306,97119.195,0.0,19.322754,4.2187405,4.8777866,5.157668,6.0631714,349.61001081934586,20.104926087889428,330.6060943647735
2021-06-04 15:00:00,0.0,74.0,74.0,8.114847,97090.83,0.0,19.486877,4.205002,5.0431767,5.611305,6.311245,451.41128365710244,60.971967385461035,397.8673894282786
2021-06-04 16:00:00,0.0,32.0,32.0,8.719609,97055.43,0.0,18.254883,4.2460175,5.2916813,6.012356,6.860382,589.0618850267316,329.59527730566737,336.1596341622601
2021-06-04 17:00:00,0.0,100.0,100.0,8.363166,97042.44,0.0,17.771454,4.1024837,4.9186535,5.6076546,6.749157,202.05379951122515,8.925125941074555,196.51830807053398
