,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-12-02 18:00:00,0.0,100.0,100.0,4.297894,97589.94,100.0,11.628082,0.4167385,0.4081211,2.7016678,4.0641975,0.0,0.0,0.0
2021-12-02 19:00:00,19.0,100.0,100.0,4.9385467,97620.5,100.0,10.849762,0.6295986,0.64361,3.071207,4.8766546,0.0,0.0,0.0
2021-12-02 20:00:00,22.0,100.0,100.0,4.671323,97693.2,99.0,10.568787,0.49339962,0.85544395,2.9840164,4.552703,0.0,0.0,0.0
2021-12-02 21:00:00,21.0,100.0,100.0,4.190899,97737.05,100.0,10.2604065,0.6309929,0.65563774,2.6685581,3.7470903,0.0,0.0,0.0
2021-12-02 22:00:00,9.0,100.0,100.0,4.1355724,97740.89,96.0,10.077911,0.6193886,0.57463837,2.9369354,3.330389,0.0,0.0,0.0
2021-12-02 23:00:00,2.0,29.0,4.0,4.4164453,97702.69,29.0,9.513763,0.57139397,0.6140499,3.1716595,3.7621384,0.0,0.0,0.0
2021-12-03 00:00:00,2.0,21.0,17.0,4.88739,97635.06,19.0,9.142548,0.8620386,1.0730495,3.5277758,4.321889,0.0,0.0,0.0
2021-12-03 01:00:00,4.0,67.0,67.0,4.9069014,97600.12,29.0,8.871735,0.8526726,1.2937965,3.4017658,4.4625826,0.0,0.0,0.0
2021-12-03 02:00:00,11.0,100.0,100.0,4.6641088,97551.14,89.0,8.466675,0.8538313,1.1698971,3.1556282,4.3024063,0.0,0.0,0.0
2021-12-03 03:00:00,12.0,100.0,100.0,4.618205,97596.86,46.0,8.307159,1.3806648,1.903822,2.9469404,4.2079525,0.0,0.0,0.0
2021-12-03 04:00:00,11.0,100.0,100.0,4.5627446,97582.875,100.0,8.088409,1.2733173,1.7522717,2.7547798,3.9934444,0.0,0.0,0.0
2021-12-03 05:00:00,28.0,100.0,100.0,4.7999673,97621.14,100.0,8.024811,1.2143335,1.5048695,3.1266975,4.4538393,0.0,0.0,0.0
2021-12-03 06:00:00,34.0,100.0,100.0,4.5675855,97623.85,100.0,7.81073,0.5714607,0.97221756,3.0321999,4.488471,0.0,0.0,0.0
2021-12-03 07:00:00,35.0,100.0,100.0,4.4662704,97609.28,100.0,7.795929,0.8659382,1.1943302,3.1392841,4.2906103,0.0,0.0,0.0
2021-12-03 08:00:00,25.0,100.0,100.0,4.2982383,97630.81,42.0,8.690582,1.2122946,1.8544846,2.795702,3.9287405,26.64481925843338,0.0,26.64481925843338
2021-12-03 09:00:00,9.0,65.0,65.0,4.9423094,97651.695,0.0,10.049957,2.3039722,3.0023785,2.9141512,3.9437752,136.52853261092216,75.20575240257367,114.93001177537616
2021-12-03 10:00:00,6.0,100.0,100.0,5.500503,97698.75,0.0,10.592163,2.589756,3.3494797,3.3226805,4.19699,129.48091456681115,0.0,129.48091456681115
