,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-08-04 11:00:00,33.0,33.0,0.0,7.730492,97382.72,0.0,14.327332,3.352521,4.282444,5.095537,6.285486,617.3745477081292,313.68724459509605,364.1539167492124
2021-08-04 12:00:00,8.0,8.0,0.0,7.11342,97307.31,0.0,15.885498,3.2142258,3.8837795,4.8872433,5.935137,838.9865312373812,597.4005821652103,304.6968709269347
2021-08-04 13:00:00,2.0,2.0,0.0,7.099766,97281.45,0.0,17.52008,2.8638334,3.3773308,5.314742,6.1324387,916.675824509099,696.2785291369544,267.2060737735246
2021-08-04 14:00:00,2.0,2.0,0.0,7.9401684,97259.375,0.0,17.713806,2.7637444,3.461403,5.960596,7.067518,902.1513244824193,698.9335432155754,259.2352931793805
2021-08-04 15:00:00,2.0,2.0,0.0,8.61844,97268.67,0.0,17.508392,2.953848,3.7252235,6.5110416,7.716194,830.9530247335525,709.4555899495807,223.32978408954182
2021-08-04 16:00:00,3.0,3.0,0.0,9.332926,97318.73,0.0,16.676483,3.1965847,4.1151943,6.9013176,8.3248825,703.5473832503895,700.6237045627626,180.24169904061375
2021-08-04 17:00:00,4.0,4.0,0.0,9.430327,97274.98,0.0,15.733093,3.4126034,4.258135,6.596596,8.31381,536.0332936649651,671.2347538634939,134.19354267529752
2021-08-04 18:00:00,8.0,8.0,0.0,8.870637,97242.914,0.0,14.79007,2.982973,3.8353786,6.1861877,7.8390427,335.01847723760505,519.9411489482363,115.7131677901217
2021-08-04 19:00:00,5.0,5.0,0.0,7.661916,97185.77,0.0,14.242065,2.4148636,2.817646,5.392418,7.0560036,143.15682069211746,312.62546716446957,71.76788688702031
2021-08-04 20:00:00,66.0,66.0,0.0,8.4064045,97209.74,0.0,12.635712,2.127489,2.8641148,5.5083103,7.8384056,1.8605826815363016,0.0,1.8605826815363016
2021-08-04 21:00:00,72.0,72.0,0.0,7.301973,97272.33,0.0,12.469452,2.5279179,3.253275,4.6079655,6.5185947,0.0,0.0,0.0
2021-08-04 22:00:00,99.0,99.0,0.0,8.05875,97295.234,0.0,12.5401,2.6691132,3.5230732,5.086176,7.163229,0.0,0.0,0.0
2021-08-04 23:00:00,97.0,97.0,0.0,8.287017,97292.22,0.0,12.210541,3.38628,4.602188,4.9565115,6.7950115,0.0,0.0,0.0
2021-08-05 00:00:00,100.0,100.0,0.0,8.974328,97308.85,0.0,11.947601,3.648138,4.7818127,5.417099,7.4248676,0.0,0.0,0.0
2021-08-05 01:00:00,100.0,100.0,0.0,10.461647,97346.016,0.0,11.615997,3.5362682,4.601671,6.149294,8.853774,0.0,0.0,0.0
