,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-11-30 21:00:00,0.0,0.0,0.0,2.1309924,97745.86,0.0,15.490173,1.2035389,0.52770996,-1.5017605,-1.0897942,0.0,0.0,0.0
2021-11-30 22:00:00,0.0,0.0,0.0,1.7124023,97742.57,0.0,15.159882,0.8660755,0.2883072,-0.76449776,-1.1218529,0.0,0.0,0.0
2021-11-30 23:00:00,0.0,0.0,0.0,2.3495967,97706.35,0.0,14.74939,0.7603302,0.36548424,-1.600954,-2.2416878,0.0,0.0,0.0
2021-12-01 00:00:00,0.0,0.0,0.0,4.5303335,97712.82,0.0,13.736389,-0.800642,-2.5950203,-3.289482,-4.6888924,0.0,0.0,0.0
2021-12-01 01:00:00,0.0,0.0,0.0,5.128515,97628.664,0.0,12.18985,-2.4939632,-3.9627686,-3.2226582,-5.407612,0.0,0.0,0.0
2021-12-01 02:00:00,0.0,0.0,0.0,5.8892655,97603.15,0.0,12.301483,-2.4272413,-3.7004223,-4.1271744,-6.869375,0.0,0.0,0.0
2021-12-01 03:00:00,0.0,0.0,0.0,7.271052,97655.65,0.0,12.165863,-1.1733332,-2.5535164,-5.6732826,-8.829409,0.0,0.0,0.0
2021-12-01 04:00:00,0.0,0.0,0.0,7.164243,97621.414,0.0,12.454071,-0.122945786,-1.09305,-5.647463,-8.862907,0.0,0.0,0.0
2021-12-01 05:00:00,0.0,0.0,0.0,7.0396476,97683.89,0.0,11.901825,-0.07486057,-1.0673275,-5.6324863,-8.943474,0.0,0.0,0.0
2021-12-01 06:00:00,1.0,1.0,0.0,7.157621,97704.78,0.0,11.997925,-0.14058685,-0.98296165,-5.541931,-9.033203,0.0,0.0,0.0
2021-12-01 07:00:00,1.0,1.0,0.0,7.484873,97694.92,0.0,11.30072,-0.33844757,-1.4145393,-5.9584846,-9.735918,0.0,0.0,0.0
2021-12-01 08:00:00,1.0,1.0,0.0,7.4835987,97700.55,0.0,12.157684,-0.48811722,-1.4030838,-5.835348,-9.667219,80.85927379394727,225.4727736290465,48.786455932448646
2021-12-01 09:00:00,1.0,1.0,0.0,8.605868,97735.266,0.0,14.648621,-0.03400612,-0.05438423,-5.718479,-8.549679,240.91100367221466,584.2961423199462,69.79571606913765
2021-12-01 10:00:00,1.0,1.0,0.0,8.02873,97794.11,0.0,17.0383,-0.22699356,0.22429562,-5.9164085,-7.71966,373.3406340504434,727.074431929062,76.76423608494696
2021-12-01 11:00:00,0.0,0.0,0.0,6.615398,97774.77,0.0,18.791565,-0.26254272,0.14106941,-5.255475,-6.397213,460.40068930178586,791.6461297172932,80.76765174225505
2021-12-01 12:00:00,0.0,0.0,0.0,5.1933856,97699.38,0.0,20.01538,-0.13369465,0.02999115,-4.1724567,-5.1082516,488.15629304879064,804.0831154478861,83.77353405034853
2021-12-01 13:00:00,0.0,0.0,0.0,4.796255,97674.58,0.0,20.601349,-0.1921587,-0.12841797,-4.033058,-4.7402916,456.6655890226466,789.8265188655216,80.39183760144431
