T_B,T_S,prices,iter,sequence
"[310.0, 310.0, 310.0, 310.0]","[310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0]","[18.97, 18.92, 18.21, 16.58]",0,"[[1, 1, 1], [1, 1, 1], [0, 1, 0], [1, 1, 1]]"
"[310.0, 310.0, 310.0, 310.0]","[314.2, 314.0, 313.9, 313.8, 313.7, 313.6, 313.3, 313.0, 312.5, 311.9, 311.3, 310.9]","[18.92, 18.21, 16.58, 16.27]",30,"[[1, 0, 1], [0, 1, 0], [1, 1, 1], [1, 1, 1]]"
