,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-07-03 12:00:00,28.0,30.0,12.0,7.0746174,97178.95,0.0,15.83316,2.4298382,3.1919022,5.081399,5.9461937,742.2715816285996,334.79219444040075,431.2312239975903
2021-07-03 13:00:00,7.0,34.0,34.0,7.46104,97181.75,1.0,16.538788,2.0886307,2.787426,5.782117,6.828681,749.8301881528398,296.4377236804311,463.84892447688225
2021-07-03 14:00:00,7.0,30.0,0.0,8.224249,97162.08,30.0,16.582397,2.72863,3.55789,6.055722,7.1109543,762.2559340875737,336.95339102232697,441.8351702893235
2021-07-03 15:00:00,15.0,100.0,0.0,9.048614,97187.34,100.0,16.038696,2.6936493,3.7126675,6.402363,7.8210754,306.67828557265597,16.80840819694466,291.74206852476743
2021-07-03 16:00:00,24.0,100.0,0.0,9.362429,97133.7,100.0,15.366547,2.6921215,3.6311817,6.3524265,8.062674,264.45106065944765,14.427105738117,253.1689135303904
2021-07-03 17:00:00,17.0,100.0,0.0,9.933272,97163.38,100.0,14.658295,2.8022919,3.8423958,6.7321396,8.528845,207.77693214670924,9.546351340839108,201.68274707040467
2021-07-03 18:00:00,25.0,65.0,0.0,9.837907,97192.555,63.0,14.120972,2.9014282,4.014412,6.4529257,8.309162,232.86676421125156,87.11628467741805,192.13966828828117
2021-07-03 19:00:00,36.0,100.0,0.0,10.337277,97174.32,100.0,12.892242,3.1197119,4.3893433,6.420347,8.692913,70.69225955538246,0.0,70.69225955538246
2021-07-03 20:00:00,83.0,93.0,0.0,10.375398,97220.95,65.0,12.075897,2.9080667,4.3567467,6.0107317,8.490038,11.73529785763996,0.0,11.73529785763996
2021-07-03 21:00:00,89.0,98.0,0.0,10.424549,97247.91,66.0,11.876465,3.2047653,4.555662,6.0142965,8.45109,0.0,0.0,0.0
2021-07-03 22:00:00,98.0,98.0,0.0,9.599836,97282.7,22.0,11.778229,3.5099087,4.82246,5.047943,7.373291,0.0,0.0,0.0
2021-07-03 23:00:00,99.0,99.0,0.0,9.846747,97271.38,19.0,11.79422,3.4258194,5.113901,5.2023945,7.5023575,0.0,0.0,0.0
2021-07-04 00:00:00,99.0,100.0,0.0,9.523475,97242.73,100.0,11.7789,3.3067207,4.6360455,5.0737686,7.4689465,0.0,0.0,0.0
2021-07-04 01:00:00,100.0,100.0,0.0,9.403817,97238.08,100.0,11.782227,2.8370867,4.1526966,5.2454786,7.5403433,0.0,0.0,0.0
2021-07-04 02:00:00,100.0,100.0,0.0,9.945139,97200.87,91.0,11.628143,3.0263891,4.2048416,5.8356514,8.166394,0.0,0.0,0.0
2021-07-04 03:00:00,100.0,100.0,0.0,9.572974,97194.11,42.0,11.529449,2.5687857,3.5108166,5.7542553,7.96838,0.0,0.0,0.0
2021-07-04 04:00:00,100.0,100.0,0.0,8.984884,97213.83,2.0,11.42807,1.989994,2.9700298,5.568207,7.7194424,0.0,0.0,0.0
