,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-07-10 07:00:00,0.0,0.0,0.0,4.1672926,97080.414,0.0,19.14737,0.7906971,0.08815384,3.100153,3.4694557,106.18398775486948,250.03082883482685,59.80557405125401
2021-07-10 08:00:00,0.0,0.0,0.0,2.57961,97260.04,0.0,21.813477,0.7362938,0.08174324,2.1585083,2.1230373,302.3396370563251,570.7906657287002,87.82127488004238
2021-07-10 09:00:00,0.0,0.0,0.0,3.0754137,97192.88,0.0,23.702393,1.3609676,1.0542889,2.368083,2.4833412,501.23002197717256,710.7853960406098,105.78961079384464
2021-07-10 10:00:00,0.0,0.0,0.0,3.525577,97259.9,0.0,25.32898,1.5699158,1.5053902,2.7768965,2.955761,678.8995929865088,745.8640632532498,145.8049539706891
2021-07-10 11:00:00,0.0,0.0,0.0,3.4296603,97309.55,0.0,27.482574,1.1507435,1.2065926,2.8342075,2.9100475,820.6251932566666,745.402498034175,194.33654529445562
2021-07-10 12:00:00,0.0,0.0,0.0,3.9192045,97234.45,0.0,29.07193,1.0774937,1.2416763,3.3583298,3.4582348,915.7952862852769,734.6586215864146,236.83160476962325
2021-07-10 13:00:00,0.0,0.0,0.0,4.55053,97210.445,0.0,29.608643,1.3594551,1.6258602,3.8481617,4.0997868,957.5247363212096,727.6753678434153,258.2535308708718
2021-07-10 14:00:00,0.0,0.0,0.0,5.278088,97180.92,0.0,29.254425,1.750433,2.2303638,4.3773937,4.674856,942.8294693561976,730.2835008370758,250.5076972006043
2021-07-10 15:00:00,0.0,0.0,0.0,5.643735,97155.61,0.0,29.262604,1.971014,2.339241,4.5547466,5.0929356,872.7462355429241,740.4481451960092,216.54632239317016
2021-07-10 16:00:00,0.0,0.0,0.0,5.6871004,97116.51,0.0,29.71988,1.5223503,1.9911804,4.5273037,5.3066254,752.2905006862615,748.1764288561372,168.8803436363247
2021-07-10 17:00:00,0.0,0.0,0.0,5.6206045,97115.39,0.0,30.153534,1.315979,1.5658073,4.2163715,5.121668,590.1966940487603,734.0339960641417,123.40009175188055
2021-07-10 18:00:00,0.0,0.0,0.0,5.5772834,97064.39,0.0,30.109863,1.0284863,1.026411,4.0722713,4.822178,399.2222066395671,660.1068950970125,92.61133312855475
2021-07-10 19:00:00,0.0,0.0,0.0,5.960622,97053.68,0.0,29.801819,0.63250923,0.16872787,3.7554684,4.8692894,197.32870548290046,440.06162704737045,75.38162333650499
2021-07-10 20:00:00,0.0,0.0,0.0,5.108132,97013.36,0.0,28.96988,0.1029892,-0.8696785,3.1310272,4.7943096,26.263449652453943,0.0,26.263449652453943
2021-07-10 21:00:00,0.0,0.0,0.0,4.7032676,97045.4,0.0,27.636536,-0.39767265,-1.7632046,3.3793736,5.514286,0.0,0.0,0.0
2021-07-10 22:00:00,0.0,0.0,0.0,4.590677,97070.266,0.0,26.96289,-0.03532982,-1.7335014,3.278452,5.5387993,0.0,0.0,0.0
2021-07-10 23:00:00,0.0,0.0,0.0,3.9017816,97084.11,0.0,25.922485,0.4007969,-1.2752495,3.0554276,4.6331615,0.0,0.0,0.0
