T_B,T_S,prices,loads,iter,sequence
"[325.2, 321.2, 317.4, 313.0]","[313.5, 312.0, 310.6, 309.5, 308.8, 308.4, 308.4, 308.7, 309.1, 309.4, 308.8, 308.0]","[1.52, 0.74, 0.42, 0.71, 0.97, 2.45, 3.79, 9.56, 20.51, 28.26, 23.49, 18.42, 13.23, 10.17, 7.92, 6.63]","[0.08, 0.08, 0.08, 0.07, 0.07, 0.07, 0.07, 0.07, 0.09, 0.09, 0.1, 0.1, 0.11, 0.11, 0.11, 0.11]",10,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[325.0, 324.2, 320.2, 322.0]","[311.9, 317.4, 316.5, 313.3, 311.2, 310.0, 309.1, 308.7, 308.5, 308.7, 309.0, 309.1]","[0.74, 0.42, 0.71, 0.97, 2.45, 3.79, 9.56, 20.51, 28.26, 23.49, 18.42, 13.23, 10.17, 7.92, 6.63, 6.31]","[0.08, 0.08, 0.07, 0.07, 0.07, 0.07, 0.07, 0.09, 0.09, 0.1, 0.1, 0.11, 0.11, 0.11, 0.11, 0.11]",11,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[325.9, 326.9, 326.6, 325.0]","[314.1, 312.7, 311.8, 311.3, 311.1, 311.1, 311.4, 311.8, 312.9, 314.9, 316.0, 314.0]","[0.42, 0.71, 0.97, 2.45, 3.79, 9.56, 20.51, 28.26, 23.49, 18.42, 13.23, 10.17, 7.92, 6.63, 6.31, 6.79]","[0.08, 0.07, 0.07, 0.07, 0.07, 0.07, 0.09, 0.09, 0.1, 0.1, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11]",12,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[326.2, 327.0, 327.2, 327.3]","[317.4, 318.1, 321.4, 326.6, 326.3, 324.9, 322.2, 318.9, 315.7, 313.4, 312.2, 311.6]","[0.71, 0.97, 2.45, 3.79, 9.56, 20.51, 28.26, 23.49, 18.42, 13.23, 10.17, 7.92, 6.63, 6.31, 6.79, 8.01]","[0.07, 0.07, 0.07, 0.07, 0.07, 0.09, 0.09, 0.1, 0.1, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11]",13,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[338.0, 337.9, 337.1, 335.0]","[331.5, 327.3, 323.7, 319.3, 316.3, 315.1, 315.5, 317.5, 319.5, 322.7, 325.5, 325.5]","[0.97, 2.45, 3.79, 9.56, 20.51, 28.26, 23.49, 18.42, 13.23, 10.17, 7.92, 6.63, 6.31, 6.79, 8.01, 11.58]","[0.07, 0.07, 0.07, 0.07, 0.09, 0.09, 0.1, 0.1, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11]",14,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[330.3, 330.9, 331.5, 332.1]","[330.9, 331.9, 332.6, 332.7, 331.9, 330.2, 327.7, 324.7, 321.7, 319.3, 317.8, 317.4]","[2.45, 3.79, 9.56, 20.51, 28.26, 23.49, 18.42, 13.23, 10.17, 7.92, 6.63, 6.31, 6.79, 8.01, 11.58, 19.38]","[0.07, 0.07, 0.07, 0.09, 0.09, 0.1, 0.1, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.1]",15,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[337.3, 336.6, 335.5, 334.4]","[330.3, 324.6, 322.8, 324.4, 331.7, 331.9, 332.0, 332.3, 332.2, 331.3, 329.7, 327.3]","[3.79, 9.56, 20.51, 28.26, 23.49, 18.42, 13.23, 10.17, 7.92, 6.63, 6.31, 6.79, 8.01, 11.58, 19.38, 21.59]","[0.07, 0.07, 0.09, 0.09, 0.1, 0.1, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.1, 0.1]",16,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[336.2, 336.2, 336.2, 336.1]","[336.2, 336.2, 336.1, 335.7, 334.9, 333.4, 331.4, 329.3, 327.8, 327.4, 328.1, 329.3]","[9.56, 20.51, 28.26, 23.49, 18.42, 13.23, 10.17, 7.92, 6.63, 6.31, 6.79, 8.01, 11.58, 19.38, 21.59, 11.08]","[0.07, 0.09, 0.09, 0.1, 0.1, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.1, 0.1, 0.08]",17,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[336.0, 335.2, 333.0, 328.8]","[336.1, 335.9, 335.3, 334.3, 332.9, 331.1, 329.4, 328.2, 327.8, 327.8, 327.5, 326.3]","[20.51, 28.26, 23.49, 18.42, 13.23, 10.17, 7.92, 6.63, 6.31, 6.79, 8.01, 11.58, 19.38, 21.59, 11.08, 4.49]","[0.09, 0.09, 0.1, 0.1, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.1, 0.1, 0.08, 0.08]",18,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[334.0, 331.6, 328.4, 325.5]","[335.3, 334.4, 333.2, 331.8, 330.3, 329.0, 328.2, 327.7, 327.3, 326.6, 325.6, 324.6]","[28.26, 23.49, 18.42, 13.23, 10.17, 7.92, 6.63, 6.31, 6.79, 8.01, 11.58, 19.38, 21.59, 11.08, 4.49, 1.52]","[0.09, 0.1, 0.1, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.1, 0.1, 0.08, 0.08, 0.08]",19,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[334.0, 331.6, 328.4, 325.5]","[331.9, 330.7, 329.5, 328.6, 327.8, 327.2, 326.5, 325.7, 324.9, 324.0, 323.1, 322.0]","[23.49, 18.42, 13.23, 10.17, 7.92, 6.63, 6.31, 6.79, 8.01, 11.58, 19.38, 21.59, 11.08, 4.49, 1.52, 0.74]","[0.1, 0.1, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.1, 0.1, 0.08, 0.08, 0.08, 0.08]",20,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[334.0, 331.6, 328.4, 325.5]","[328.6, 327.7, 327.0, 326.3, 325.5, 324.6, 323.7, 322.8, 321.7, 320.6, 319.5, 318.4]","[18.42, 13.23, 10.17, 7.92, 6.63, 6.31, 6.79, 8.01, 11.58, 19.38, 21.59, 11.08, 4.49, 1.52, 0.74, 0.42]","[0.1, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.1, 0.1, 0.08, 0.08, 0.08, 0.08, 0.08]",21,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0], [1, 1, 1]]"
"[331.5, 328.5, 324.9, 320.9]","[326.8, 326.0, 325.2, 324.3, 323.4, 322.4, 321.4, 320.3, 319.4, 318.7, 318.3, 318.1]","[13.23, 10.17, 7.92, 6.63, 6.31, 6.79, 8.01, 11.58, 19.38, 21.59, 11.08, 4.49, 1.52, 0.74, 0.42, 0.71]","[0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.1, 0.1, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07]",22,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[331.5, 328.5, 324.9, 320.9]","[323.8, 322.8, 321.9, 320.9, 320.0, 319.2, 318.4, 317.6, 316.7, 315.6, 314.6, 313.6]","[10.17, 7.92, 6.63, 6.31, 6.79, 8.01, 11.58, 19.38, 21.59, 11.08, 4.49, 1.52, 0.74, 0.42, 0.71, 0.97]","[0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.1, 0.1, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07]",23,"[[0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[331.5, 328.5, 324.9, 320.9]","[320.5, 319.6, 318.8, 317.9, 317.0, 316.1, 315.1, 314.1, 313.1, 312.2, 311.2, 310.3]","[7.92, 6.63, 6.31, 6.79, 8.01, 11.58, 19.38, 21.59, 11.08, 4.49, 1.52, 0.74, 0.42, 0.71, 0.97, 2.45]","[0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.1, 0.1, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07]",24,"[[0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[328.5, 325.1, 322.0, 319.7]","[318.2, 317.4, 316.4, 315.5, 314.5, 313.5, 312.6, 311.6, 310.7, 309.8, 308.9, 308.0]","[6.63, 6.31, 6.79, 8.01, 11.58, 19.38, 21.59, 11.08, 4.49, 1.52, 0.74, 0.42, 0.71, 0.97, 2.45, 3.79]","[0.11, 0.11, 0.11, 0.11, 0.11, 0.1, 0.1, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07, 0.07]",25,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[326.4, 325.7, 326.8, 327.4]","[314.9, 313.9, 313.0, 312.2, 311.7, 312.2, 314.0, 316.2, 316.9, 316.0, 315.0, 314.1]","[6.31, 6.79, 8.01, 11.58, 19.38, 21.59, 11.08, 4.49, 1.52, 0.74, 0.42, 0.71, 0.97, 2.45, 3.79, 9.56]","[0.11, 0.11, 0.11, 0.11, 0.1, 0.1, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07, 0.07, 0.07]",26,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[328.1, 328.9, 329.4, 329.7]","[327.9, 328.4, 327.3, 324.5, 320.9, 317.3, 314.8, 313.3, 312.7, 312.9, 313.6, 314.6]","[6.79, 8.01, 11.58, 19.38, 21.59, 11.08, 4.49, 1.52, 0.74, 0.42, 0.71, 0.97, 2.45, 3.79, 9.56, 20.51]","[0.11, 0.11, 0.11, 0.1, 0.1, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07, 0.07, 0.07, 0.09]",27,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[330.8, 330.0, 330.9, 330.3]","[325.6, 321.9, 319.0, 316.8, 315.5, 315.1, 315.7, 317.5, 320.7, 324.4, 326.4, 325.6]","[8.01, 11.58, 19.38, 21.59, 11.08, 4.49, 1.52, 0.74, 0.42, 0.71, 0.97, 2.45, 3.79, 9.56, 20.51, 28.26]","[0.11, 0.11, 0.1, 0.1, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07, 0.07, 0.07, 0.09, 0.09]",28,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[332.1, 332.3, 331.5, 330.6]","[321.4, 319.3, 318.1, 317.7, 318.4, 320.0, 322.4, 324.8, 326.4, 326.3, 324.8, 322.3]","[11.58, 19.38, 21.59, 11.08, 4.49, 1.52, 0.74, 0.42, 0.71, 0.97, 2.45, 3.79, 9.56, 20.51, 28.26, 23.49]","[0.11, 0.1, 0.1, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07, 0.07, 0.07, 0.09, 0.09, 0.1]",29,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[331.1, 329.1, 325.7, 322.3]","[318.8, 318.4, 318.9, 320.2, 322.1, 324.0, 325.2, 325.2, 323.5, 319.8, 314.7, 310.1]","[19.38, 21.59, 11.08, 4.49, 1.52, 0.74, 0.42, 0.71, 0.97, 2.45, 3.79, 9.56, 20.51, 28.26, 23.49, 18.42]","[0.1, 0.1, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07, 0.07, 0.07, 0.09, 0.09, 0.1, 0.1]",30,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[331.1, 329.1, 325.7, 322.3]","[320.9, 322.2, 323.3, 323.7, 323.0, 321.1, 318.2, 314.7, 311.5, 309.4, 308.6, 308.8]","[21.59, 11.08, 4.49, 1.52, 0.74, 0.42, 0.71, 0.97, 2.45, 3.79, 9.56, 20.51, 28.26, 23.49, 18.42, 13.23]","[0.1, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07, 0.07, 0.07, 0.09, 0.09, 0.1, 0.1, 0.11]",31,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[327.2, 324.3, 321.4, 318.8]","[322.6, 323.0, 322.6, 321.1, 318.7, 315.8, 313.0, 310.7, 309.4, 309.2, 309.7, 310.6]","[11.08, 4.49, 1.52, 0.74, 0.42, 0.71, 0.97, 2.45, 3.79, 9.56, 20.51, 28.26, 23.49, 18.42, 13.23, 10.17]","[0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07, 0.07, 0.07, 0.09, 0.09, 0.1, 0.1, 0.11, 0.11]",32,"[[0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[325.2, 322.3, 319.6, 316.9]","[321.9, 320.7, 318.7, 316.2, 313.7, 311.6, 310.2, 309.7, 309.9, 310.4, 311.0, 311.2]","[4.49, 1.52, 0.74, 0.42, 0.71, 0.97, 2.45, 3.79, 9.56, 20.51, 28.26, 23.49, 18.42, 13.23, 10.17, 7.92]","[0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07, 0.07, 0.07, 0.09, 0.09, 0.1, 0.1, 0.11, 0.11, 0.11]",33,"[[0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[320.0, 317.1, 314.2, 311.5]","[320.8, 319.1, 316.8, 314.5, 312.3, 310.8, 310.0, 309.9, 310.3, 310.8, 311.3, 311.5]","[1.52, 0.74, 0.42, 0.71, 0.97, 2.45, 3.79, 9.56, 20.51, 28.26, 23.49, 18.42, 13.23, 10.17, 7.92, 6.63]","[0.08, 0.08, 0.08, 0.07, 0.07, 0.07, 0.07, 0.07, 0.09, 0.09, 0.1, 0.1, 0.11, 0.11, 0.11, 0.11]",34,"[[0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
