,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-07-06 08:00:00,87.0,87.0,0.0,9.083661,97359.57,0.0,11.115326,3.6721458,4.5261183,5.587345,7.535181,134.3840674939832,10.127005279608568,130.51659081427889
2021-07-06 09:00:00,74.0,74.0,0.0,8.19481,97384.4,0.0,11.929291,3.6983776,4.562542,5.1608715,6.5728455,263.410938679731,58.51868938552888,230.54418844108477
2021-07-06 10:00:00,22.0,22.0,0.0,8.005699,97395.53,0.0,13.480164,3.5454884,4.310354,5.1818104,6.541649,586.4893727737121,445.77119927718377,265.88002491286994
2021-07-06 11:00:00,20.0,20.0,0.0,7.528006,97374.62,0.0,14.745483,3.4975815,4.108078,5.250368,6.297554,717.9144503468049,472.4953194368798,319.17977113534175
2021-07-06 12:00:00,9.0,9.0,0.0,7.391827,97399.164,0.0,16.080383,3.4990234,4.0601196,5.138319,6.022438,865.739607088483,572.7074548471635,334.7557370318659
2021-07-06 13:00:00,5.0,5.0,0.0,7.8921866,97387.67,0.0,16.810638,3.8420124,4.500927,5.3854923,6.404976,929.3484446851986,632.1131842231749,320.4266387416177
2021-07-06 14:00:00,4.0,4.0,0.0,8.284073,97331.766,0.0,17.502533,3.8562737,4.393484,5.7900352,6.929531,920.7832173468322,654.7821920709472,298.7961258054412
2021-07-06 15:00:00,3.0,3.0,0.0,8.208507,97368.48,0.0,18.003937,3.5978603,4.146162,5.9507065,6.969795,857.9309125874635,687.1918528375245,247.79872499978637
2021-07-06 16:00:00,2.0,2.0,0.0,8.340759,97333.92,0.0,18.042297,3.6165333,3.9964237,6.006008,7.252495,744.6836839422164,716.8087846531922,184.58422192223156
2021-07-06 17:00:00,2.0,2.0,0.0,8.495499,97315.95,0.0,17.426727,3.342619,3.737358,6.368229,7.5804977,584.8613920489814,707.5847047245546,133.62498045558073
2021-07-06 18:00:00,2.0,2.0,0.0,8.423208,97313.84,0.0,16.471466,3.4988842,3.8903942,6.087324,7.4157085,396.75053508507057,638.184902043193,98.94112579461483
2021-07-06 19:00:00,2.0,2.0,0.0,8.317919,97282.21,0.0,15.241791,3.635765,4.010849,5.474737,6.9985905,197.8794356541415,429.7289118663661,77.62333631005095
2021-07-06 20:00:00,1.0,1.0,0.0,7.462138,97223.38,0.0,14.115692,3.6037254,3.8455925,4.9881306,6.394703,28.343333291372,0.0,28.343333291372
2021-07-06 21:00:00,1.0,1.0,0.0,6.7662253,97218.484,0.0,13.071747,3.5857773,3.8338127,3.225193,4.890581,0.0,0.0,0.0
2021-07-06 22:00:00,3.0,5.0,5.0,6.8120756,97224.484,0.0,12.544098,4.30105,4.4699345,3.2479706,4.816305,0.0,0.0,0.0
2021-07-06 23:00:00,7.0,8.0,4.0,7.5821247,97231.83,0.0,11.910339,4.6014233,5.104023,3.6253033,5.5569153,0.0,0.0,0.0
2021-07-07 00:00:00,18.0,26.0,25.0,8.388949,97265.1,0.0,11.53595,4.438324,5.4549904,4.035925,6.3149223,0.0,0.0,0.0
