,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-11-03 15:00:00,2.0,2.0,0.0,2.0306392,97714.85,0.0,17.645111,1.0779495,1.0764732,1.7665901,1.7145672,451.42770461462527,748.4247159981896,89.19357464106179
2021-11-03 16:00:00,2.0,2.0,0.0,2.4630237,97649.05,0.0,16.879547,1.1273613,1.3668079,1.9745989,1.9984932,306.9037932253752,635.5838139101137,79.49017827862113
2021-11-03 17:00:00,0.0,0.0,0.0,3.70623,97619.97,0.0,15.497894,1.3212891,1.9659977,2.6364965,3.1611423,132.45088317020532,372.16048878122376,59.44688723867854
2021-11-03 18:00:00,0.0,0.0,0.0,5.2536454,97599.14,0.0,13.446533,1.0656481,2.1041546,2.6736393,4.0427876,0.8957052488669871,0.0,0.8957052488669871
2021-11-03 19:00:00,0.0,0.0,0.0,5.3765826,97681.11,0.0,12.68689,1.161171,2.0871372,2.605935,4.818178,0.0,0.0,0.0
2021-11-03 20:00:00,2.0,2.0,0.0,6.0390887,97665.82,0.0,12.737549,1.8847847,3.0203686,2.9406433,5.133072,0.0,0.0,0.0
2021-11-03 21:00:00,3.0,3.0,0.0,6.946374,97667.055,0.0,12.755341,2.5274696,4.1850834,3.2905598,5.422037,0.0,0.0,0.0
2021-11-03 22:00:00,2.0,2.0,0.0,7.325433,97643.03,0.0,12.811493,3.1365738,5.555172,3.0413294,4.726658,0.0,0.0,0.0
2021-11-03 23:00:00,5.0,5.0,0.0,8.182534,97630.59,0.0,13.042664,4.183502,6.771227,2.6159058,4.3086185,0.0,0.0,0.0
2021-11-04 00:00:00,14.0,14.0,0.0,9.067794,97596.836,0.0,12.881439,4.9963417,8.219837,2.0104904,3.4382515,0.0,0.0,0.0
2021-11-04 01:00:00,100.0,100.0,0.0,8.892507,97597.625,0.0,13.555695,5.0377445,8.439238,0.7660141,2.3326702,0.0,0.0,0.0
2021-11-04 02:00:00,100.0,100.0,19.0,9.832153,97633.336,0.0,13.566193,4.861315,7.799803,1.3585472,2.879305,0.0,0.0,0.0
2021-11-04 03:00:00,100.0,100.0,100.0,7.916439,97644.016,0.0,13.119598,4.489565,6.322544,1.441493,2.6322021,0.0,0.0,0.0
2021-11-04 04:00:00,100.0,100.0,21.0,7.8548245,97700.57,0.0,13.345856,2.6923637,3.4252129,3.381977,5.429199,0.0,0.0,0.0
2021-11-04 05:00:00,92.0,99.0,97.0,6.7479405,97722.64,0.0,13.364716,0.9055004,0.847847,4.3783026,6.042288,0.0,0.0,0.0
2021-11-04 06:00:00,70.0,70.0,4.0,6.497132,97826.72,0.0,12.914825,0.5568428,0.44438553,3.887844,5.5981293,0.0,0.0,0.0
2021-11-04 07:00:00,34.0,34.0,2.0,5.6433334,97871.55,0.0,12.135101,0.029411316,-0.9235935,3.1530466,5.44895,0.0,0.0,0.0
