T_B,T_S,prices,iter,sequence
"[314.0, 314.6, 313.7, 308.8]","[310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310]","[14.64, 18.93, 45.56, 26.42]",0,"[[1, 1, 1], [1, 0, 1], [0, 0, 0], [0, 1, 0]]"
"[326.9, 326.8, 323.5, 320.5]","[311.3, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0]","[18.93, 45.56, 26.42, 18.0]",15,"[[1, 1, 1], [0, 0, 0], [0, 1, 0], [0, 1, 0]]"
"[329.7, 326.3, 324.8, 324.8]","[324.4, 321.1, 317.6, 314.8, 313.1, 312.4, 312.0, 311.5, 310.8, 310.3, 310.1, 310.0]","[45.56, 26.42, 18.0, 17.17]",30,"[[0, 1, 0], [0, 1, 0], [0, 1, 0], [1, 1, 1]]"
"[318.9, 324.2, 325.8, 325.5]","[312.8, 312.0, 311.4, 311.0, 310.9, 310.9, 311.1, 311.1, 311.0, 310.8, 310.8, 311.9]","[26.42, 18.0, 17.17, 16.19]",45,"[[0, 1, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[312.6, 316.2, 320.3, 323.3]","[311.0, 311.0, 310.9, 310.7, 310.3, 309.7, 309.1, 308.5, 308.2, 308.0, 308.0, 308.1]","[18.0, 17.17, 16.19, 30.74]",60,"[[1, 1, 1], [0, 1, 0], [1, 0, 1], [0, 1, 0]]"
"[320.3, 315.0, 315.0, 315.8]","[314.9, 315.2, 315.3, 314.5, 313.1, 311.9, 311.0, 310.4, 309.9, 309.4, 309.0, 308.6]","[17.17, 16.19, 30.74, 31.17]",75,"[[1, 1, 1], [1, 0, 1], [0, 1, 0], [0, 1, 0]]"
